,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
124,126,740,164,C2-Adipocites (2).tif,15478,3504.2209999999995,837.2489999999999,1264.153,3432,754,148,169,167.544,117.624,83.015,176.139,255,100,3482,756,108.538,130.33100000000002,0.6188
125,127,741,658,C2-Adipocites (2).tif,15443,1375.684,2249.639,1030.874,1280,2176,179,147,171.829,114.431,20.9,190.541,255,100,1291,2305,33.44,123.74700000000001,0.5869
126,128,742,101,C2-Adipocites (2).tif,15932,1341.757,578.273,861.72,1261,492,146,172,162.028,125.196,71.288,174.451,255,100,1327,493,105.63,133.123,0.6344
127,129,743,106,C2-Adipocites (2).tif,16043,3371.6040000000003,588.36,1231.786,3291,514,173,143,159.974,127.68700000000001,168.232,182.78400000000002,255,100,3291,558,161.16899999999998,139.584,0.6485
128,130,744,356,C2-Adipocites (2).tif,15464,1991.683,1350.9460000000001,1681.214,1917,1259,185,182,177.28799999999998,111.059,134.66299999999998,210.297,255,100,1917,1284,151.607,152.543,0.4593
129,131,745,121,C2-Adipocites (2).tif,15577,2193.542,639.789,1249.183,2096,580,196,129,178.25099999999998,111.266,173.676,196.255,255,100,2096,641,177.079,121.245,0.6161
130,132,746,332,C2-Adipocites (2).tif,13815,1374.49,1240.8310000000001,1536.6879999999999,1233,1171,240,132,204.925,85.836,8.181000000000001,251.40599999999998,255,100,1233,1282,18.075,131.55700000000002,0.4361
131,133,747,419,C2-Adipocites (2).tif,14402,1734.4460000000001,1552.6779999999999,1453.1070000000002,1676,1443,108,205,201.502,91.00299999999999,85.852,210.642,255,100,1700,1646,72.597,107.04799999999999,0.6505
132,134,748,295,C2-Adipocites (2).tif,16824,601.9259999999999,1125.796,1421.0479999999998,519,1042,158,173,159.055,134.67600000000002,113.581,182.477,255,100,559,1043,120.641,153.235,0.6155
133,135,749,733,C2-Adipocites (2).tif,16511,1789.589,2657.947,1804.227,1720,2566,154,196,175.002,120.12700000000001,89.479,196.207,255,100,1786,2762,87.37100000000001,153.154,0.547
134,136,750,260,C2-Adipocites (2).tif,17303,2780.808,1050.769,1103.3419999999999,2701,972,181,162,157.32299999999998,140.036,148.907,181.706,255,100,2701,1058,5.052,149.718,0.5901
135,137,751,574,C2-Adipocites (2).tif,17049,3498.7309999999998,1973.1670000000001,1261.0819999999999,3408,1904,182,141,169.282,128.232,12.029000000000002,187.641,255,100,3418,2012,23.559,137.441,0.6644
136,138,752,410,C2-Adipocites (2).tif,17137,3384.3190000000004,1493.601,1146.857,3310,1402,142,177,167.09900000000002,130.578,100.446,178.24099999999999,255,100,3374,1579,83.234,142.0,0.6818
