 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6573,untitled3_green_thresh.tif:Green,1.947,5.789,13.774,8.739,4.906,12.917,1.771,1.750,1.775,1.396,45.105,1.892,0,529,1406,64.564,1.454
6574,untitled3_green_thresh.tif:Green,1.963,30.486,24.621,9.707,29.656,23.677,1.750,1.823,1.637,1.527,162.465,1.888,0,2909,2273,105.033,1.623
6575,untitled3_green_thresh.tif:Green,2.002,20.851,14.049,14.922,19.969,13.073,2.010,1.896,1.940,1.314,148.731,2.185,0,1942,1255,124.902,1.590
6576,untitled3_green_thresh.tif:Green,2.019,7.242,14.595,11.299,6.198,13.573,1.979,2.031,1.870,1.375,147.399,2.116,0,651,1313,118.205,1.583
6577,untitled3_green_thresh.tif:Green,2.038,27.053,22.443,10.510,26.229,21.438,1.740,1.906,1.792,1.448,122.975,1.914,0,2582,2058,113.076,1.659
6578,untitled3_green_thresh.tif:Green,2.051,7.734,17.975,10.135,6.885,17.073,1.677,1.812,1.761,1.483,80.223,1.903,0,698,1804,60.489,1.619
6579,untitled3_green_thresh.tif:Green,2.067,19.288,16.057,11.046,18.667,15.010,1.323,2.135,2.063,1.276,91.314,2.181,0,1808,1441,115.463,1.304
6580,untitled3_green_thresh.tif:Green,2.121,29.540,20.327,8.777,28.552,19.344,1.948,1.771,1.745,1.547,4.746,1.950,0,2741,1953,2.755,1.637
6581,untitled3_green_thresh.tif:Green,2.195,16.524,12.316,13.500,15.615,11.260,1.823,2.156,1.963,1.424,64.139,2.163,0,1586,1288,85.580,1.731
6582,untitled3_green_thresh.tif:Green,2.201,27.445,10.013,10.526,26.469,9.062,1.938,1.844,1.998,1.403,37.806,2.103,0,2546,1015,31.012,1.578
6583,untitled3_green_thresh.tif:Green,2.206,28.171,30.102,9.244,27.104,29.219,1.990,1.802,2.019,1.391,142.895,2.107,0,2602,2865,157.620,1.535
6584,untitled3_green_thresh.tif:Green,2.249,30.387,17.419,8.436,29.604,16.427,1.677,1.906,1.791,1.599,100.887,1.975,0,2854,1603,132.863,1.635
6585,untitled3_green_thresh.tif:Green,2.254,32.812,2.593,13.097,32.073,1.500,1.594,2.385,2.219,1.293,97.189,2.493,0,3129,146,115.494,1.503
6586,untitled3_green_thresh.tif:Green,2.268,39.703,11.836,13.836,38.740,10.896,2.010,1.854,1.912,1.510,23.774,2.166,0,3740,1221,43.831,1.826
6587,untitled3_green_thresh.tif:Green,2.272,11.735,12.745,15.336,10.792,11.427,1.958,2.448,1.964,1.473,56.028,2.487,0,1108,1332,79.867,1.777
6588,untitled3_green_thresh.tif:Green,2.290,35.246,11.850,9.445,34.365,10.781,1.719,2.062,1.895,1.538,83.308,2.068,0,3376,1233,85.956,1.665
6589,untitled3_green_thresh.tif:Green,2.294,31.988,4.802,19.801,31.188,3.406,1.573,2.823,2.621,1.114,100.009,2.836,0,3085,327,95.480,1.414
6590,untitled3_green_thresh.tif:Green,2.321,5.967,19.798,11.064,4.906,18.427,2.167,2.656,2.902,1.018,56.554,2.842,0,546,2024,69.174,1.314
6591,untitled3_green_thresh.tif:Green,2.328,9.156,12.975,11.454,8.281,11.573,1.667,2.625,2.341,1.266,104.261,2.682,0,852,1111,101.877,1.387
6592,untitled3_green_thresh.tif:Green,2.408,9.462,9.477,10.704,8.521,8.531,1.906,1.938,1.896,1.617,55.674,2.155,0,821,954,29.539,1.685
