, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
118,119,hfd28 ep1 tip.tif  (red) thresh.tif,11755,3204.0609999999997,815.8639999999999,649.186,3134,744,138,138,131.143,114.12700000000001,30.249000000000002,147.078,255,100,3176,880,67.62,122.98200000000001,0.6173
119,120,hfd28 ep1 tip.tif  (red) thresh.tif,6992,2799.861,795.9939999999999,680.073,2735,748,128,97,121.055,73.541,12.647,128.561,255,100,2735,798,174.644,89.70700000000001,0.5631
120,121,hfd28 ep1 tip.tif  (red) thresh.tif,9647,2926.428,824.965,650.5,2864,764,137,120,115.32700000000001,106.506,5.696000000000001,139.46,255,100,2869,849,18.825,112.749,0.5868
121,122,hfd28 ep1 tip.tif  (red) thresh.tif,12033,3551.083,856.92,1768.261,3442,772,222,152,201.459,76.05,15.083,223.141,255,100,3442,871,14.534,123.124,0.3566
122,123,hfd28 ep1 tip.tif  (red) thresh.tif,4586,2157.764,821.107,531.99,2103,780,103,78,85.755,68.09,19.622,104.087,255,100,2103,832,8.286,77.132,0.5708
123,124,hfd28 ep1 tip.tif  (red) thresh.tif,4328,2482.721,827.258,562.5169999999999,2431,780,92,90,81.827,67.344,143.843,106.963,255,100,2445,870,48.411,88.726,0.5227
124,125,hfd28 ep1 tip.tif  (red) thresh.tif,3872,2589.585,834.4989999999999,797.328,2537,780,95,106,83.714,58.891000000000005,67.058,114.49,255,100,2551,882,62.986999999999995,80.215,0.3845
125,126,hfd28 ep1 tip.tif  (red) thresh.tif,4048,3058.909,827.4,560.943,3008,783,112,82,95.583,53.922,151.49,114.14,255,100,3008,818,168.887,75.527,0.4408
126,127,hfd28 ep1 tip.tif  (red) thresh.tif,4134,1962.15,832.664,586.174,1916,790,90,92,77.359,68.041,98.9,97.08200000000001,255,100,1957,882,71.378,81.688,0.4993
127,128,hfd28 ep1 tip.tif  (red) thresh.tif,8155,2369.391,863.9810000000001,751.0260000000001,2308,793,115,125,106.46600000000001,97.52600000000001,36.856,129.85,255,100,2339,909,54.718999999999994,111.557,0.5673
128,129,hfd28 ep1 tip.tif  (red) thresh.tif,24433,3900.3109999999997,981.405,2539.246,3784,798,235,381,305.932,101.686,114.595,396.56800000000004,255,100,3858,804,108.98299999999999,155.19899999999998,0.2729
129,130,hfd28 ep1 tip.tif  (red) thresh.tif,4047,3794.077,855.957,485.30400000000003,3753,799,79,114,92.617,55.635,54.802,123.167,255,100,3768,912,66.557,70.903,0.4494
130,131,hfd28 ep1 tip.tif  (red) thresh.tif,8504,3306.272,868.153,833.938,3246,807,119,119,114.755,94.354,59.31100000000001,132.88299999999998,255,100,3271,925,61.699,111.68799999999999,0.6005
131,132,hfd28 ep1 tip.tif  (red) thresh.tif,10423,3984.553,907.5,1092.021,3927,816,112,188,166.68,79.619,99.04299999999999,188.322,255,100,3986,1004,86.65100000000001,104.432,0.495
132,133,hfd28 ep1 tip.tif  (red) thresh.tif,5044,2045.5379999999998,876.685,786.683,1997,821,98,109,94.455,67.992,66.365,112.87200000000001,255,100,2022,922,60.255,88.74700000000001,0.4722
